Data,Temp_Med,Temp_Min,Temp_Max,Precipitacao,Final_Semana,Consumo
2015-03-07,"21,92","19,4","26,6","38,2",1,29090
2015-03-08,"22,2","19,7","24,4","69,2",1,24619
2015-03-09,"21,36","19,7","23,3",77,0,20016
2015-03-10,"23,12","21,2","26,9","9,7",0,23042
2015-03-11,"22,88","20,1","28,1","9,5",0,22933
2015-03-12,"22,26","19,2","26,9","1,2",0,22409
2015-03-13,"22,34",20,"26,6",0,0,21281
2015-03-14,"22,88","19,9","27,9","12,2",1,28844
2015-03-15,"22,08","19,1","26,8","0,3",1,32872
2015-03-16,"21,92","18,6","29,4","22,4",0,20903
2015-03-17,"21,92","18,6","25,6","24,2",0,26275
2015-03-18,"21,24","19,7","24,1",0,0,20167
2015-03-19,"21,78","19,2","27,1","3,2",0,23628
2015-03-20,"21,64","18,9","28,2","7,4",0,24213
2015-03-21,"20,88","18,5","25,3","14,7",1,28631
2015-03-22,"19,7","18,1","22,8","1,7",1,25855
2015-03-23,"19,88","17,1","23,3","19,2",0,21406
2015-03-24,"20,98","17,4","26,3",0,0,21617
2015-03-25,"21,56","17,1","27,9",0,0,22401
2015-03-26,"22,98","18,3","29,8",0,0,27989
2015-03-27,"23,32",18,"30,8",0,0,24974
2015-03-28,"23,28","19,1","29,5",0,1,29760
2015-03-29,"22,14","20,5","26,6",0,1,26116
2015-03-30,"22,5",19,"25,9","18,6",0,25850
2015-03-31,"23,14","20,1",29,1,0,24925
2015-04-01,"22,52","19,2","27,5",0,0,21979
2015-04-02,"20,92","18,2","26,2",0,0,22116
2015-04-03,"21,02","16,3","27,2",0,0,24867
2015-04-04,"22,36","17,9","29,4",0,1,33450
2015-04-05,"22,82","20,1","26,4",0,1,32713
2015-04-06,"21,36","18,5","27,7",0,0,22356
2015-04-07,"17,38","16,1",20,"7,1",0,21004
2015-04-08,"18,68","14,7","24,3","0,4",0,23362
2015-04-09,"19,4","15,9","25,6",0,0,20298
2015-04-10,"20,46",17,"25,5",0,0,24862
2015-04-11,"21,74","17,2","28,4",0,1,30505
2015-04-12,"19,92","16,8","25,7",0,1,25070
2015-04-13,"20,88","18,1","25,7",0,0,22620
2015-04-14,"21,7","18,4","28,8",0,0,22001
2015-04-15,"21,94","18,5","27,4",0,0,23469
2015-04-16,"21,26","18,6","26,7","25,4",0,21735
2015-04-17,"21,42","18,4",27,"37,2",0,21593
2015-04-18,"23,36","18,2","29,3",0,1,33822
2015-04-19,"22,5","20,3","27,2",0,1,28028
2015-04-20,24,"19,3","29,2","20,2",0,24304
2015-04-21,"22,52","19,3",29,0,0,31108
2015-04-22,"20,06","18,9","21,6","2,4",0,19113
2015-04-23,"21,2","18,6","24,9","14,6",0,23198
2015-04-24,"22,52","19,3","28,1",0,0,24388
2015-04-25,"19,18","17,4","23,3",0,1,27420
2015-04-26,"19,04","16,1","23,7","0,8",1,30479
2015-04-27,"19,82","17,5","24,9",0,0,21838
2015-04-28,"20,26","17,2","26,9",0,0,20812
2015-04-29,"18,66","16,8","22,7",0,0,19761
2015-04-30,"16,22","14,7","18,7",0,0,20452
2015-05-01,"17,34","13,4",22,0,0,17939
2015-05-02,"19,26","14,7","26,4",0,1,25272
2015-05-03,"21,04","15,8","26,3",0,1,28049
2015-05-04,"19,96","17,9","22,3",1,0,25317
2015-05-05,"18,14","16,6","20,8","9,9",0,21826
2015-05-06,"17,76","15,9","20,4",0,0,20680
2015-05-07,"17,8","15,8","21,7",0,0,19143
2015-05-08,"16,14","13,9","19,2",0,0,18146
2015-05-09,"18,04","13,7","26,1",0,1,25489
2015-05-10,"16,94","13,7",21,0,1,23537
2015-05-11,"17,86","15,7","20,6","22,2",0,16956
2015-05-12,"17,12","14,2","21,7",0,0,19052
2015-05-13,"16,34","14,7","18,9","2,8",0,17287
2015-05-14,"16,72","14,2",21,0,0,20300
2015-05-15,"16,84","13,6","21,5",0,0,20538
2015-05-16,"17,18","13,2","22,3",0,1,23702
2015-05-17,"18,26","15,4","22,4",0,1,28411
2015-05-18,"18,6","16,6","21,3",0,0,21073
2015-05-19,"18,64",17,"22,9",0,0,24215
2015-05-20,"18,74","15,9","23,3","0,2",0,19525
2015-05-21,"19,46","16,3",25,0,0,20786
2015-05-22,"20,26","16,3","25,4",0,0,20429
2015-05-23,"19,94","15,9","24,4",0,1,27250
2015-05-24,"21,8","17,9","26,3",0,1,31387
2015-05-25,"22,06","17,5","27,4",0,0,26075
2015-05-26,"21,28","19,7","24,8",0,0,22162
2015-05-27,"22,94","19,7","27,1",0,0,24258
2015-05-28,"18,56","16,8","23,2","1,8",0,24683
2015-05-29,"17,68","15,3","21,9","7,2",0,21245
2015-05-30,"17,52","13,1","22,9",0,1,25937
2015-05-31,"16,28","13,6","18,4","5,6",1,26081
2015-06-01,"16,28","15,2",18,"2,2",0,16228
2015-06-02,"16,04",15,"17,5","0,5",0,20106
2015-06-03,"17,94",15,"21,7",0,0,21055
2015-06-04,"18,36","14,6","24,1",0,0,22772
2015-06-05,"18,32","14,1","25,3",0,0,25142
2015-06-06,"19,66","13,8","26,1",0,1,31129
2015-06-07,"20,62","15,9","26,2",0,1,30498
2015-06-08,"20,86","15,2","26,4",0,0,26150
2015-06-09,"20,32","15,2",26,0,0,21327
2015-06-10,"20,54","15,5","26,2",0,0,22008
2015-06-11,"22,72","17,5","26,9",0,0,24615
2015-06-12,"18,8","16,9","23,5",0,0,22375
2015-06-13,"21,1","15,5","27,4",0,1,29607
2015-06-14,"22,76","18,1","27,3",0,1,32983
2015-06-15,"16,02","13,1","23,4",0,0,19119
2015-06-16,"14,82","12,1","18,1",9,0,21029
2015-06-17,"19,8","13,9","25,1",0,0,23898
2015-06-18,"19,88","15,8","26,2",0,0,24534
2015-06-19,"14,66","13,2","17,7","3,8",0,16748
2015-06-20,"15,82","12,5","20,4",0,1,23055
2015-06-21,"17,32","12,6","24,6",0,1,28857
2015-06-22,"18,54","13,1","24,6",0,0,23022
2015-06-23,"19,02","14,4","25,5",0,0,27146
2015-06-24,"14,54","13,9",18,"3,8",0,17241
2015-06-25,"14,72","12,1","17,4",1,0,19463
2015-06-26,"15,26",12,"20,9",0,0,21860
2015-06-27,"15,34","10,6","20,8",0,1,24227
2015-06-28,"15,48","11,2","21,8",0,1,27594
2015-06-29,"17,2",11,"24,4",0,0,24863
2015-06-30,"19,36","13,2","25,1",0,0,20161
2015-07-01,"17,78","16,2","20,5",0,0,20824
2015-07-02,"17,2","15,1","19,9","1,6",0,19727
2015-07-03,"17,52","15,6","18,4","17,8",0,14940
2015-07-04,"14,94","10,9",21,"15,2",1,24632
2015-07-05,"12,9",11,"14,5","4,4",1,21294
2015-07-06,"15,78","11,3","20,6",0,0,18448
2015-07-07,"16,8","13,3","20,2",0,0,21237
2015-07-08,"17,02","14,9","18,7","4,5",0,19849
2015-07-09,"17,54","15,3","20,4",0,0,20740
2015-07-10,"19,24",14,"25,4",0,0,25698
2015-07-11,"17,46",16,"19,8",0,1,26691
2015-07-12,"20,32",14,"27,4",3,1,33298
2015-07-13,"22,06","16,7","28,7",0,0,25640
2015-07-14,"23,3","18,4","29,3",0,0,23937
2015-07-15,"20,18","17,2","27,6",0,0,28742
2015-07-16,"19,88","16,2","25,8",0,0,21748
2015-07-17,"19,14","15,8","24,3",0,0,22032
2015-07-18,"20,2","18,2","23,8",0,1,24827
2015-07-19,"19,98","14,6","25,9",0,1,32473
2015-07-20,"20,56","14,9","25,1",0,0,20620
2015-07-21,"16,72",14,"21,4",0,0,21825
2015-07-22,"14,52","12,8","16,1",0,0,14343
2015-07-23,"17,02","13,6","20,6",0,0,19029
2015-07-24,"18,46","14,3","25,8",0,0,21104
2015-07-25,"15,9","14,9","17,9","16,6",1,20738
2015-07-26,"16,82","13,6","22,9",2,1,25233
2015-07-27,"16,6",11,"24,2",0,0,18975
2015-07-28,"16,46","11,6","24,5",0,0,19640
2015-07-29,"16,2",11,"23,8",0,0,22522
2015-07-30,"16,76","11,3","26,7",0,0,24227
2015-07-31,"19,24","12,8","26,6",0,0,24726
2015-08-01,"19,78","14,3","26,4",0,1,32467
2015-08-02,"20,1","13,8","26,3",0,1,31663
2015-08-03,"21,16","14,9","26,9",0,0,25867
2015-08-04,"21,04","15,2","27,4",0,0,27724
2015-08-05,"20,96",15,"27,2",0,0,22039
2015-08-06,"21,06","16,3","27,7",0,0,26127
2015-08-07,"22,08","15,5","28,9",0,0,26580
2015-08-08,"21,16",16,"27,8",0,1,31310
2015-08-09,"19,62","15,6","26,2",0,1,33517
2015-08-10,"21,2","15,6",28,0,0,23181
2015-08-11,"19,6","15,2","27,2",0,0,24183
2015-08-12,"20,12","14,1","26,6",0,0,24594
2015-08-13,"20,42","14,1","28,1",0,0,22610
2015-08-14,"20,86","15,3","27,6",0,0,25479
2015-08-15,"21,44","15,6","27,8",0,1,29621
2015-08-16,"20,56","16,2","27,2",0,1,26272
2015-08-17,"21,58","15,3",28,0,0,22541
2015-08-18,"21,3","16,7","26,5",0,0,23070
2015-08-19,"20,74","17,3","28,3",0,0,26021
2015-08-20,"16,2","14,8","19,6",0,0,17655
2015-08-21,"16,84","13,2","22,1",1,0,23243
2015-08-22,"18,08","14,1","26,2",0,1,30177
2015-08-23,"20,22","13,5",30,0,1,27518
2015-08-24,"16,98","15,1","20,5",0,0,23210
2015-08-25,"16,98","14,3","20,5","2,4",0,21092
2015-08-26,"18,92","14,8",24,"0,6",0,23357
2015-08-27,"16,1","13,8","19,8","2,6",0,17888
2015-08-28,"16,28","12,8","22,1",25,0,22217
2015-08-29,"18,46","12,2","26,7",0,1,31681
2015-08-30,"22,52","14,3",32,0,1,31833
2015-08-31,"24,54","16,6","32,2",0,0,28441
2015-09-01,"21,44","17,2","30,7",0,0,22389
2015-09-02,"16,1","14,1","20,2","0,4",0,20681
2015-09-03,"19,3","14,8",25,0,0,24222
2015-09-04,"16,66","15,2","19,3",0,0,19345
2015-09-05,"16,12","14,4","18,5","2,4",1,21827
2015-09-06,"16,48","13,3","19,9",0,1,23566
2015-09-07,"18,72","13,8","24,4","0,1",0,20227
2015-09-08,"17,08","15,8","19,2","23,6",0,17075
2015-09-09,"18,82","15,8","22,9",58,0,16977
2015-09-10,"18,92","13,9","25,6",0,0,21525
2015-09-11,"16,88","14,1","21,8","31,8",0,21454
2015-09-12,14,"12,8","15,6","27,6",1,21814
2015-09-13,"14,18","12,5","16,1",0,1,21252
2015-09-14,"16,46",13,"22,5","0,2",0,20464
2015-09-15,"21,18","14,4","30,1",0,0,30775
