Municipio,Populacao_estimada,lat,log
Acegua,4702,-31.868087,-54.164994
Bage,121749,-31.331131,-54.107219
Dom Pedrito,39886,-30.983345,-54.674061
Hulha Negra,6478,-31.406827,-53.870986
